municipio,estado
Sete Barras,São Paulo
SeverInia,São Paulo
Silveiras,São Paulo
Socorro,São Paulo
Sorocaba,São Paulo
Sud Mennucci,São Paulo
SumarE,São Paulo
SuzanApolis,São Paulo
Suzano,São Paulo
TabapuA,São Paulo
Tabatinga,São Paulo
TaboAo da Serra,São Paulo
Taciba,São Paulo
TaguaI,São Paulo
TaiaCu,São Paulo
TaiUva,São Paulo
TambaU,São Paulo
Tanabi,São Paulo
TapiraI,São Paulo
Tapiratiba,São Paulo
Taquaral,São Paulo
Taquaritinga,São Paulo
Taquarituba,São Paulo
TaquarivaI,São Paulo
Tarabai,São Paulo
TarumA,São Paulo
TatuI,São Paulo
TaubatE,São Paulo
TejupA,São Paulo
Teodoro Sampaio,São Paulo
Terra Roxa,São Paulo
TietE,São Paulo
Timburi,São Paulo
Torre de Pedra,São Paulo
Torrinha,São Paulo
Trabiju,São Paulo
TremembE,São Paulo
TrEs Fronteiras,São Paulo
Tuiuti,São Paulo
TupA,São Paulo
Tupi Paulista,São Paulo
TuriUba,São Paulo
Turmalina,São Paulo
Ubarana,São Paulo
Ubatuba,São Paulo
Ubirajara,São Paulo
Uchoa,São Paulo
UniAo Paulista,São Paulo
UrAnia,São Paulo
Uru,São Paulo
UrupEs,São Paulo
Valentim Gentil,São Paulo
Valinhos,São Paulo
ValparaIso,São Paulo
Vargem,São Paulo
Vargem Grande do Sul,São Paulo
Vargem Grande Paulista,São Paulo
Santa FE do Sul,São Paulo
Santa Gertrudes,São Paulo
VArzea Paulista,São Paulo
Vera Cruz,São Paulo
Vinhedo,São Paulo
Viradouro,São Paulo
Vista Alegre do Alto,São Paulo
VitOria Brasil,São Paulo
Votorantim,São Paulo
Votuporanga,São Paulo
Zacarias,Tocantins
AbreulAndia,Tocantins
AguiarnOpolis,Tocantins
AlianCa do Tocantins,Tocantins
Almas,Tocantins
Alvorada,Tocantins
AnanAs,Tocantins
Angico,Tocantins
Aparecida do Rio Negro,Tocantins
Aragominas,Tocantins
Araguacema,Tocantins
AraguaCu,Tocantins
AraguaIna,Tocantins
AraguanA,Tocantins
Araguatins,Tocantins
Arapoema,Tocantins
Arraias,Tocantins
AugustinOpolis,Tocantins
Aurora do Tocantins,Tocantins
AxixA do Tocantins,Tocantins
BabaCulAndia,Tocantins
Bandeirantes do Tocantins,Tocantins
Barra do Ouro,Tocantins
BarrolAndia,Tocantins
Bernardo SayAo,Tocantins
Bom Jesus do Tocantins,Tocantins
BrasilAndia do Tocantins,Tocantins
Brejinho de NazarE,Tocantins
Buriti do Tocantins,Tocantins
Cachoeirinha,Tocantins
Campos Lindos,Tocantins
Cariri do Tocantins,Tocantins
CarmolAndia,Tocantins
Carrasco Bonito,Tocantins
Caseara,Tocantins
CentenArio,Tocantins
Chapada da Natividade,Tocantins
Chapada de Areia,Tocantins
Colinas do Tocantins,Tocantins
ColmEia,Tocantins
Combinado,Tocantins
ConceiCAo do Tocantins,Tocantins
Couto MagalhAes,Tocantins
CristalAndia,Tocantins
CrixAs do Tocantins,Tocantins
DarcinOpolis,Tocantins
DianOpolis,Tocantins
DivinOpolis do Tocantins,Tocantins
Dois IrmAos do Tocantins,Tocantins
DuerE,Tocantins
Esperantina,Tocantins
FAtima,Tocantins
FigueirOpolis,Tocantins
FiladElfia,Tocantins
Formoso do Araguaia,Tocantins
Fortaleza do TabocAo,Tocantins
Goianorte,Tocantins
Goiatins,Tocantins
GuaraI,Tocantins
Gurupi,Tocantins
Ipueiras,Tocantins
ItacajA,Tocantins
Itaguatins,Tocantins
Itapiratins,Tocantins
JaU do Tocantins,Tocantins
Juarina,Tocantins
Lagoa da ConfusAo,Tocantins
Lagoa do Tocantins,Tocantins
Lajeado,Tocantins
Lavandeira,Tocantins
Lizarda,Tocantins
LuzinOpolis,Tocantins
Mateiros,Tocantins
MaurilAndia do Tocantins,Tocantins
Monte do Carmo,Tocantins
Monte Santo do Tocantins,São Paulo
Morungaba,São Paulo
Motuca,São Paulo
Murutinga do Sul,São Paulo
Nantes,São Paulo
Narandiba,São Paulo
Natividade da Serra,São Paulo
NazarE Paulista,São Paulo
Neves Paulista,São Paulo
Nhandeara,São Paulo
NipoA,São Paulo
Nova AlianCa,São Paulo
Nova Campina,São Paulo
Nova CanaA Paulista,São Paulo
Nova Castilho,São Paulo
Nova Europa,São Paulo
Nova Granada,São Paulo
Nova Guataporanga,São Paulo
Nova IndependEncia,São Paulo
Nova LuzitAnia,São Paulo
Nova Odessa,São Paulo
Novais,São Paulo
Novo Horizonte,São Paulo
Nuporanga,São Paulo
OcauCu,São Paulo
Oleo,São Paulo
OlImpia,São Paulo
Onda Verde,São Paulo
Oriente,São Paulo
OrindiUva,São Paulo
OrlAndia,São Paulo
Osasco,São Paulo
Oscar Bressane,São Paulo
Osvaldo Cruz,São Paulo
Ourinhos,São Paulo
